datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/01/13 17:30:00,AQUA_M-T,Brasil,PARA,OBIDOS,Amazonia,0,0.2,0.1,1.502,-55.718,13.3
2021/01/14 16:35:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,2,1,0.1,-2.099,-54.238,53.4
2021/01/14 16:35:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,2,0.2,0.8,-1.806,-54.332,91.5
2021/01/14 16:35:00,AQUA_M-T,Brasil,PARA,GOIANESIA DO PARA,Amazonia,2,9.7,0,-3.716,-48.844,10.7
2021/01/14 16:35:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,2,0.3,0.4,-1.92,-54.097,40.9
2021/01/14 16:35:00,AQUA_M-T,Brasil,PARA,VISEU,Amazonia,0,0.1,0.4,-1.438,-46.297,9.6
2021/01/14 16:35:00,AQUA_M-T,Brasil,PARA,BRAGANCA,Amazonia,3,5,0.1,-1.29,-46.748,10.1
2021/01/14 16:35:00,AQUA_M-T,Brasil,PARA,SAO JOAO DO ARAGUAIA,Amazonia,2,2.9,0,-5.465,-48.643,12.4
2021/01/14 16:35:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,2,0.3,0.8,-1.812,-54.324,88.9
2021/01/14 16:35:00,AQUA_M-T,Brasil,PARA,SANTAREM NOVO,Amazonia,0,0.1,0.2,-0.943,-47.274,15.3
2021/01/14 16:35:00,AQUA_M-T,Brasil,PARA,BRAGANCA,Amazonia,16,0.5,0.6,-1.013,-46.679,11.2
2021/01/15 17:15:00,AQUA_M-T,Brasil,PARA,SANTAREM,Amazonia,3,0.5,0.2,-2.116,-54.651,43.5
2021/01/15 17:15:00,AQUA_M-T,Brasil,PARA,SANTAREM,Amazonia,2,1.2,0.2,-2.259,-54.494,8.9
2021/01/15 17:15:00,AQUA_M-T,Brasil,PARA,PRAINHA,Amazonia,2,0,0.1,-1.493,-53.633,25.4
2021/01/15 17:15:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,3,0.4,0.5,-1.849,-54.198,50.1
2021/01/15 17:15:00,AQUA_M-T,Brasil,PARA,SANTAREM,Amazonia,0,0.7,0,-2.607,-55.436,5.6
2021/01/15 17:15:00,AQUA_M-T,Brasil,PARA,ALENQUER,Amazonia,2,1.6,0.1,-1.555,-54.459,8.4
2021/01/15 17:15:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,3,0.5,0.4,-1.858,-54.196,29.8
2021/01/15 17:15:00,AQUA_M-T,Brasil,PARA,JURUTI,Amazonia,0,4.4,0,-2.346,-56.127,11.4
2021/01/15 17:15:00,AQUA_M-T,Brasil,PARA,PORTO DE MOZ,Amazonia,1,0.7,0,-2.11,-52.039,9.9
2021/01/15 17:15:00,AQUA_M-T,Brasil,PARA,OBIDOS,Amazonia,0,1.5,0,-1.416,-55.415,19.1
2021/01/16 16:20:00,AQUA_M-T,Brasil,PARA,GARRAFAO DO NORTE,Amazonia,2,0,0.6,-2.388,-47.175,25.5
2021/01/16 16:20:00,AQUA_M-T,Brasil,PARA,SANTO ANTONIO DO TAUA,Amazonia,2,0.2,0.1,-1.061,-48.109,15.1
2021/01/16 16:20:00,AQUA_M-T,Brasil,PARA,GARRAFAO DO NORTE,Amazonia,2,0.1,0.2,-2.256,-47.147,49.7
2021/01/16 16:20:00,AQUA_M-T,Brasil,PARA,IPIXUNA DO PARA,Amazonia,1,2.3,0.1,-2.474,-47.567,32.3
2021/01/16 16:20:00,AQUA_M-T,Brasil,PARA,CAPITAO POCO,Amazonia,2,0.1,0.7,-2.41,-47.287,22.9
2021/01/16 16:20:00,AQUA_M-T,Brasil,PARA,NOVA TIMBOTEUA,Amazonia,3,0,0.4,-0.982,-47.295,26.4
2021/01/16 16:20:00,AQUA_M-T,Brasil,PARA,TRACUATEUA,Amazonia,3,0,0.5,-1.119,-46.892,46.7
2021/01/16 16:20:00,AQUA_M-T,Brasil,PARA,MAGALHAES BARATA,Amazonia,2,0,0.5,-0.758,-47.654,18.3
2021/01/16 16:20:00,AQUA_M-T,Brasil,PARA,PEIXE-BOI,Amazonia,3,0,0.4,-0.98,-47.278,24.6
